Name,Price,Rating
Ingenuity White Blend 2017,23.33,3.9
Otto Muri 2016,12.14,3.7
Liebfraumilch 2017,8.49,3.5
Calasole Vermentino 2019,8.9,4.0
Gavi 2018,10.99,3.4
Geheimrat J Riesling Spätlese Trocken 2016,24.9,3.8
Frauenweingarten Grüner Veltliner Federspiel 2014,11.89,3.6
Vernaccia di San Gimignano 2019,8.68,3.4
Wiener Gemischter 2019,12.99,3.7
Viognier 2016,8.69,3.7
Chassagne-Montrachet Premier Cru 2017,59.99,4.0
C. A.I. Riesling Kabinett 2018,10.82,3.6
Dom Riesling Feinherb 2017,7.69,3.9
Lügle 2015,18.53,4.1
Silvaner Trocken 2019,8.4,3.7
Iglič Furmint 2016,32.87,4.2
Roter Veltliner Scheiben 2017,26.5,4.0
Steirische Klassik Weissburgunder 2018,13.8,3.6
Pecorino 2019,6.25,3.9
Scharzhofberger Riesling Auslese 2018,506.89,4.2
Weisser Burgunder Trocken 2017,11.51,3.9
Steffensberg 2014,25.24,3.9
Reserve Collection Chardonnay 2019,5.03,3.4
Picpoul de Pinet 2017,8.68,3.3
Röttgen Riesling Kabinett 2018,16.58,3.9
